Lifecycle;Kurzname;ALM-ID;Name;Kurzbeschreibung;ADM Org. Einheit;Applikationsverantwortlicher (ADM);Letzte Žnderung
In Produktion;TravicLink;ITR-4389;TravicLink;Exklusiv fr den Kunden Finanz Informatik. Entgegennahme und Weiterleitung von Druckdaten an das IT-System MSI. Rcklieferung von Reporting-Daten an den Kunden.;Deutsche Post E-Post Solutions GmbH, IT (99000119);D”nmez, M., DP EPS, MA;07.09.2022
In Produktion;Vedit;ITR-3843;VEDIT;Clientsoftware;Deutsche Post E-Post Solutions GmbH, IT (99000119);;17.08.2022
In Produktion;Winzip Pro;ITR-3851;WinZip;Clientsoftware;Deutsche Post E-Post Solutions GmbH, IT (99000119);;17.08.2022
In Produktion;ezConfig (EPS DS);ITR-3869;ezConfig (EPS DS);Clientsoftware;Deutsche Post E-Post Solutions GmbH, IT (99000119);;18.08.2022
In Produktion;EVU;ITR-4274;EVU;Vorverarbeitung von Kundendaten;Deutsche Post E-Post Solutions GmbH, IT (99000119);Zylla, M., DP EPS, BN;07.09.2022
In Produktion;Hilti Statusmanager;ITR-4510;Hilti Statusmanager;Hilti Statusmanager;Deutsche Post E-Post Solutions GmbH, IT (99000119);Bergmann, G., DP EPS, F;07.09.2022
In Produktion;JIRA - DP EPS;ITR-4511;JIRA - DP EPS;Tool fr Software-Entwicklung und Service Management  im GF Outputmanagement;Deutsche Post E-Post Solutions GmbH, IT (99000119);Bergmann, G., DP EPS, F;07.09.2022
In Produktion;MOVEit;ITR-4278;Managed File Transfer Support and Learning;Server zum Empfang und zur Weiterleitung von Kundendateien fr die Produktion;Deutsche Post E-Post Solutions GmbH, IT (99000119);Lange, R., DP EPS, EIN;07.09.2022
In Produktion;Salesforce - DP EPS;ITR-4507;Salesforce - DP EPS;Salesforce SaaS;Deutsche Post E-Post Solutions GmbH, IT (99000119);Bergmann, G., DP EPS, F;07.09.2022
In Produktion;Sterling;ITR-4508;Sterling;Sterling B2B Integrator;Deutsche Post E-Post Solutions GmbH, IT (99000119);Bergmann, G., DP EPS, F;07.09.2022
In Produktion;Zetes;ITR-4509;Zetes;Zetes Kommissionierungsl”sung;Deutsche Post E-Post Solutions GmbH, IT (99000119);Bergmann, G., DP EPS, F;07.09.2022
In Produktion;BasisAnalyseTool;ITR-4374;BasisAnalyseTool;Analysetool zur Auswertung Finanzdaten auf Basis Qlikview;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Geils, B, DP IHS;17.08.2022
In Produktion;DArc;PRF-3097;DPIHS-Archivierung;Archivierung von Rechnungsdaten;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schmidt, D, DP IHS;17.08.2022
Ausser Produktion;DP IHS Abrechnungssysteme;ITR-3440;DP IHS Abrechnungssysteme;Abrechnungssysteme;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schmidt, D, DP IHS;17.08.2022
Ausser Produktion;Abrechnung 2009;ITR-3441;DP IHS Abrechnung 2009;DP IHS Abrechnung 2009;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schneeloch, M, DP IHS;17.08.2022
Ausser Produktion;IHC;PRF-3095;IHC;Abrechnungsvorbereitung und Rechnungserstellung;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schneeloch, M, DP IHS;17.08.2022
Ausser Produktion;POFF 2000;ITR-3641;Abrechnung Poststellenleistungen IHS;Abrechnung Poststellenleistungen IHS;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);;17.08.2022
Ausser Produktion;SAMBA;ITR-3642;SAMBA;Upload Abrechnung des Kunden Siemens in die FP2;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);;17.08.2022
In Produktion;DP IHS Abrechnungsvorbereitung;ITR-3437;DP IHS Abrechnungsvorbereitung;DP IHS Abrechnungsvorbereitung;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schmidt, D, DP IHS;17.08.2022
In Produktion;DP IHS BDE Zentral;PRF-3093;DP IHS BDE Zentral;Konsolidierung und Bearbeitung der Produktionsdaten fr die Abrechnung, z.B. Korrekturen, manuelle Nacherfassung, etc.;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schmidt, D, DP IHS;17.08.2022
Ausser Produktion;Auftrags- und TLR-Monitoring;ITR-3436;Auftrags- und TLR-Monitoring;Auftrags- und TLR-Monitoring;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schmidt, D, DP IHS;17.08.2022
In Produktion;DP IHS BDE Zentral Kern;ITR-4362;DP IHS BDE Zentral Kern;Zentrale Komponente Betriebsdatenerfassung der Sendungsmengen aus den Sortern;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schmidt, D, DP IHS;17.08.2022
In Produktion;DP IHS Salesforce;PRF-3089;DP IHS Salesforce;Kundenmanagement und -Stammdaten;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schumacher, F, DP IHS;17.08.2022
In Produktion;DP IHS XPROMA BDE;PRF-3090;DP IHS XPROMA BDE;Betriebsuntersttzung Konsolidierung DP IHS;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schulz, H, DP IHS;17.08.2022
In Produktion;DP IHS XPROMA BDE Lokal;ITR-3439;DP IHS XPROMA BDE Lokal;Beh„ltertracking, Wareneingang, Frankierung, Sortierung, manuelle Erfassung;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schulz, H, DP IHS;17.08.2022
In Produktion;XPROMA BDE Central X;ITR-3438;DP IHS XPROMA BDE Central X;Zentrale Komponente zur Untersttzung der Betriebsprozesse Konsolidierung;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Schulz, H, DP IHS;17.08.2022
In Produktion;Docuware;ITR-4269;Docuware;Infosystem mit historischen Informationen zu Fahrzeuganmietungen bei Fa. Novartis.;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);Hbschmann, K, DP IHS;17.08.2022
In Produktion;GFOS-ZE;ITR-3683;GFOS-Zeiterfassung;GFOS-Zeiterfassung fr die Tochtergesellschaften DP IHS und 2-Mann-Handling;Deutsche Post InHaus Services GmbH, DP IHS IT (TG000104);H”ber, B., DP IHS;17.08.2022
