Lifecycle;Kurzname;ALM-ID;Name;Kurzbeschreibung;ADM Org. Einheit;Applikationsverantwortlicher (ADM);Letzte Žnderung
Ausser Produktion;CMS;APP-2140;CMS;Beschreibung sagt abgeschaltet;Abt 1310, ADM Vertrieb (00057835);;17.08.2022
Ausser Produktion;forumgelb App;APP-5459;forumgelb.de - Mobile App;-;Abt 1310, ADM Vertrieb (00057835);;17.08.2022
Ausser Produktion;forumgelb.de;APP-708;forumgelb.de - Portal;- zu erg„nzen -;Abt 1310, ADM Vertrieb (00057835);;17.08.2022
In Produktion;AI;ICTO-1078;Auftragsintegration;Middleware fr Annahme/Konvertierung von Auftrags- und Bewegungsdaten fr BIA und ODS;Abt 1330, ADM Finanzen & Abrechnung (00057851);Koch-Schulte,R.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;Sendungsankndigung;ITR-4423;Sendungsankndigung;Eingangsschnittstelle fr Pre-Advice Notification.;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;AM;ICTO-12;Auftragsmanagement BRIEF;Auftragsverwaltung, Entgeltsicherung und Abrechnungsvorbereitung BRIEF fr Groákunden;Abt 1330, ADM Finanzen & Abrechnung (00057851);Ebel,H.,SNL IT P&P,Abt 1330,BN;07.09.2022
In Produktion;AM.ESK;ITR-3537;AM.ESK;Kennzahlen Einzelsendungs-Ebene;Abt 1330, ADM Finanzen & Abrechnung (00057851);Ebel,H.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;AM.Portal alt;APP-5452;AM.Portal alt;AM.Portal alt;Abt 1330, ADM Finanzen & Abrechnung (00057851);Ebel,H.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;AM.basis;APP-5455;AM.basis;"Kern von AM; Basisfunktionalit„t und Kommunikation mit Nachbarsystemen; die Applikation verwaltet alle Auftragsinformationen";Abt 1330, ADM Finanzen & Abrechnung (00057851);Ebel,H.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;AM.exchange;APP-5454;AM.exchange;AM.exchange stellt Schnittstellen fr den elektronischen Datenaustausch mit den Kunden der DPAG bereit.;Abt 1330, ADM Finanzen & Abrechnung (00057851);Ebel,H.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;AM.info;APP-5456;AM.info;Intranet-Portal des Auftragsmanement BRIEF;Abt 1330, ADM Finanzen & Abrechnung (00057851);Ebel,H.,SNL IT P&P,Abt 1330,BN;17.08.2022
Ausser Produktion;AM.mobile;APP-5451;AM.mobile;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;AM.numbers;ITR-4133;AM.numbers;Vergabe eindeutiger Nummern fr interne und externe Auftr„ge sowie fr Sendungen;Abt 1330, ADM Finanzen & Abrechnung (00057851);Ebel,H.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;AM.pro;APP-5450;AM.pro;Client der Produktionzur Auftragserfassung, -bearbeitung und Entgeltsicherung fr die Mitarbeiter der Entgeltsicherung;Abt 1330, ADM Finanzen & Abrechnung (00057851);Ebel,H.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;Auftragsdaten Postversand AMAZON;ITR-4429;Auftragsdaten Postversand AMAZON;Auftragsdaten Postversand AMAZON;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;Auftr„ge_Postversand;ITR-4293;Auftr„ge_Postversand;Auftr„ge_Postversand - Auftr„ge fr Postversand;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;Number Management;ITR-4260;Number Management;getIDRange - Reservierung eines Nummernintervalls durch den Kunden;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;OrderManagement;ITR-4242;OrderManagement;Create-,Change-,Cancel-,seek- and  get Customer Orders;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;TrackEventInformation;ITR-4243;TrackEventInformation;getTrackEvents;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;AM.portal;ITR-4430;Portal Auftragsmgmt Brief;Kundenzugang fr AM, Funktionen Mailbox, Benutzerverwaltung und Auftragsanzeige bzw. -bearbeitung (incl. Abruf von Sendungsstatus und Vorankndigung);Abt 1330, ADM Finanzen & Abrechnung (00057851);Ebel,H.,SNL IT P&P,Abt 1330,BN;17.08.2022
Geplant;Archivsystem;ITR-3715;Archivsystem;Archivierung Abrechnungs-Daten;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;BIA;ICTO-1773;Bill-it-all;Abrechnung Paket fr Gesch„ftskunden, Verarbeitung von Auftrags- und Sendungsdaten, Erzeugung von Fakturabelegen;Abt 1330, ADM Finanzen & Abrechnung (00057851);Bringezu,R.,SNL IT P&P,Abt 1330,BN;08.09.2022
Ausser Produktion;Abrechnung-1952;APP-2646;Abrechnung-1952;šberfhrung bepreister Event-Handler in Fakturen;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;Auftragsmanagement (RP5);APP-2645;Auftragsmanagement (RP5);Auftragsmanagement Paket;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;Clearing;APP-2655;Clearing;Auftrags-Clearing;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;ESI-Cockpit;ITR-3581;ESI-Cockpit;Cockpit fr Entgeltsicherung;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;Preisberechnung (RP7);APP-2653;Preisberechnung;Preisfindung von Auftragspositionen fr die Abrechnung;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;Rechnungen (GK Paket);ITR-4424;Rechnungen (GK Paket);Ausgangs-Rechnungen fr Kunden GK Paket;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;SDR (RP6);APP-2654;Stammdatenreplikation;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Geplant;BTP;ITR-3713;Backend Abrechnung;Backend Abrechnung;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;CMS-1E;ICTO-50;Card Management System (CMS);Untersttzung Einsatz POSTCARD zur papierlosen Abrechnung von Leistungen fr Gesch„ftskunden;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);Sammari,Y.,SNL IT P&P, Abt 1120,DA;23.08.2022
In Produktion;CMS-1E;APP-2935;Card Management System (CMS)-1070;end date berschritten;null (null);;17.08.2022
In Produktion;PPR;APP-3961;CMS POSTCARD Premium Reporting (PPR);- zu erg„nzen -;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);Sammari,Y.,SNL IT P&P, Abt 1120,DA;17.08.2022
In Produktion;CODO;ICTO-1143;Cash on delivery optimization;Erstellung šberweisungsauftr„ge fr Paketsendungen mit Nachnahme;Abt 1330, ADM Finanzen & Abrechnung (00057851);Gorzel,V.,SNL IT P&P,Abt 1330,BN;17.08.2022
Ausser Produktion;DPZO;ICTO-1089;DPZ Operations;Forderungsmanagement der DPZ zur Bearbeitung von Forderungen fr Mandanten;Abt 192, IT Architektur (00057785);Fricke, Z 12F2, BN;17.08.2022
In Produktion;BI;APP-3908;Business Intelligence;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;BRAFO;APP-2672;BRAFO;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;Multiversa;APP-2962;Multiversa;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;Scoring System;APP-2961;ABIT Scoring;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;phinAMV;APP-2960;ABIT phinAMV;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;ESI_;ICTO-529;Entgelt-Sicherung;Untersttzung nationale und internationale Entgeltsicherung (Paket) durch Stichprobenprfung und deren Ergebnisdokumentation;Abt 1330, ADM Finanzen & Abrechnung (00057851);Pasquino,M.,SNL IT P&P,Abt 1330,BN;17.08.2022
Ausser Produktion;ESI DHL Express;ITR-3979;EsiDHLxRecht;EsiDHLxRecht;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;GP8;ICTO-927;SAP GP8;Abrechnung Tochtergesellschaften (DPDS, DPZ, DPEPS, DPIHS);Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;GP8;APP-2298;GP8 (Mandant 580);- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;Mandant 600;APP-5134;GP8 (Mandant 600);- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;GPM;ITR-3716;GPMSap;Abrechnungssystem eCommerce Solutions;V8, DHL eCommerce Solutions (00057666);;17.08.2022
In Produktion;NPI;ICTO-587;NPI (SICMA);Internationale Auslandsabrechnung sowie Preiskalkulation;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;23.08.2022
In Produktion;Fehlleitungs-App Brief;ITR-4439;Fehlleitungs-App Brief;Erfassen von Brief-Fehlleitungen mit Erfassungsmaske und Bildern;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;Gefahrgut-App;ITR-4440;Gefahrgut-App;Erfassung und Verwaltung von Sendungen mit gef„hrlichen Inhalten;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;MIND;ICTO-3337;Mail International Data;x;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;PriceE Backend;APP-429;PriceE Backend;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;Sesta;ITR-3617;Sesta;Erfassung von statistischen Sendungsdaten;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;sicma;APP-1158;SICMA;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;sicmaClassic;APP-1982;SICMA classic;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;NWI;ICTO-586;NWI (PROMISED);Datawarehouse internationale Abrechnung;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
Ausser Produktion;BI Mail International (DHL Global Mail UK)-1156;APP-1156;BI Mail International (DHL Global Mail UK);Enddatum berschritten, status geplant;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;BI Mail International (DHL Global Mail US)-1154;APP-1154;BI Mail International (DHL Global Mail US);Enddatum berschritten, status geplant;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;BI Mail International (IPA);APP-1159;BI Mail International (IPA);Enddatum berschritten, status geplant;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;Bagtracking;APP-37;Bagtracking;Status in production, enddate berschritten, nachfolger APP 1533 ist out of production;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;DELETE (RS) APP-126;APP-126;CUP-Daten;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;DELETE (RS) APP-848;APP-848;PROMISED;- zu erg„nzen -;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;DWH MAIN;APP-683;DWH MAIN;Grafische Oberfl„che zum Einstieg in die Auswertungs- und Recherchefunktionen der NWI;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;PricE;APP-1894;PricE;Kalkulations-Anwendung fr Direct Sales und Cross Border Sales;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;RPA Abrechnung;ITR-3652;RPA Abrechnung;Bots Roadmap Abrechnung;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;23.08.2022
In Produktion;SAP-NPB;ICTO-170;SAP Mail National (NPB);Abrechnung nationales Briefgesch„ft;Abt 1330, ADM Finanzen & Abrechnung (00057851);Peterhoff,G.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;Abrechnungsdaten Postversand AMAZON;ITR-4428;Abrechnungsdaten Postversand AMAZON;Abrechnungsdaten Postversand AMAZON;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
In Produktion;Rechnungen (GK Post);ITR-4425;Rechnungen (GK Post);Ausgangs-Rechnungen fr Kunden GK Post;Abt 1330, ADM Finanzen & Abrechnung (00057851);;17.08.2022
Ausser Produktion;ePBA;ICTO-1495;Erweiterte Produktionsbasierte Abrechnung (ePBA);Untersttzung der produktionsbasierten Abrechnungsverfahren durch Aufbereitung von elektronischen Einlieferungslisten und Abgleich mit Scanevents;Abt 1330, ADM Finanzen & Abrechnung (00057851);Pasquino,M.,SNL IT P&P,Abt 1330,BN;17.08.2022
In Produktion;AMP;PRF-256;API Management Platform;Zentrales DPDHL API-Gateway zur Exposition von APIs des Konzerns und der Divisionen;Abt 192, IT Architektur (00057785);;17.08.2022
In Produktion;ERC;ITR-3634;Edge Response Cache;Externes Schnittstellensystem zum Cachen von Tracking-Informationen;Abt 192, IT Architektur (00057785);;17.08.2022
In Produktion;Location Finder - Unified;ITR-4434;Location Finder - Unified;Finding all DHL pick-up and drop-off points to send and receive packages, Locations in Germany and many countries worldwide;Abt 036, Corporate IT-Office (00038612);;17.08.2022
In Produktion;Shipment Tracking - Unified;ITR-4431;Unified Tracking API;Providing access to the shipment status at any time, Integrating all types of Deutsche Post DHL shipmentsIntegrating all types of Deutsche Post DHL shipments;Abt 036, Corporate IT-Office (00038612);;17.08.2022
In Produktion;API DevPort;PRF-255;API Developer Portal;Bereitstellung von Informationen zur Integrationsuntersttzung fr Gesch„ftskunden zur Nutzung von APIs des Konzerns und der Divisionen;Abt 192, IT Architektur (00057785);;17.08.2022
Ausser Produktion;Axway-API-GW;PRF-334;Axway API Gateway;Gateway fr Post International APIs;Abt 192, IT Architektur (00057785);;17.08.2022
Ausser Produktion;CIG;ICTO-1121;Customer Integration Gateway;Webservice-Gateway zur Kundenintegration mit APIs fr Paket;Abt 1230, ADM Business Kunden Paket (00057834);Marx,R.,SNL IT P&P,Abt 1230,DA;17.08.2022
In Produktion;CIG@Cloud;ITR-3712;Customer Integration Gateway@Cloud;Webservice-Gateway zur Kundenintegration fr Paket und Post;Abt 1230, ADM Business Kunden Paket (00057834);Marx,R.,SNL IT P&P,Abt 1230,DA;17.08.2022
In Produktion;DCG;ITR-4182;DHL Customer Gateway;Austausch Trackevents fr Produkt EMS (Express Mail Service);V3, EXPRESS (00000046);Derkum,M.,SNL IT P&P,Abt 1240,BN;17.08.2022
In Produktion;E-Portal;ICTO-920;Entwicklerportal;Bereitstellung von Informationen zur Integrationsuntersttzung fr Gesch„ftskunden zur Nutzung von APIs von Paket Deutschland;Abt 1230, ADM Business Kunden Paket (00057834);Marx,R.,SNL IT P&P,Abt 1230,DA;17.08.2022
In Produktion;EDI-CC;SPL-40;EDI-CC (eBiB);Untersttzung von Kommunikationsverfahren zum Nachrichtenaustausch zwischen der DPDHL und Partnern;Abt 1230, ADM Business Kunden Paket (00057834);Frymel,J.,Z 19A2,Bonn;08.09.2022
In Produktion;ExtSupS;ITR-4319;Externe Suppliersysteme;Externe Suppliersysteme;Abt 192, IT Architektur (00057785);;17.08.2022
Ausser Produktion;SOP2;SPL-20;SOP2;Enterprise Service Bus zur Untersttzung der Integration von externen und internen IT-Applikationen. Untersttzung synchroner und asynchroner Kommunikation;Abt 2410, ADM Integration & Plattformen (00057850);Bukowski, P., SNL IT P&P, 2410, BN;17.08.2022
Ausser Produktion;Adressdialog;ICTO-7;Adressdialog;Einrichtung und Verwaltung von Rckmeldungen zu Mailingaktionen sowie Erstellung von Landingpages;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);B”hle,F.,Z Abt 19A2,Bonn;17.08.2022
In Produktion;DM;ICTO-173;Dialog-Manager;Verwaltung Lizenzen und Nutzer der Kundensoftware;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Kowatsch,J.,SNL IT P&P,Abt 1220,BN;24.08.2022
In Produktion;DM-Suite;ICTO-2095;Dialogmarketing Suite;Dialogmarketing-Plattform zur Abbildung/Konsolidierung des Dialogmarketing-Serviceportfolios;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Kutzner,D.,SNL IT P&P, Abt 1220;07.09.2022
In Produktion;Adressieren;ITR-4268;Adressieren;Adressieren;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;Cassiopeia;APP-3296;Cassiopeia;Tracking Sendungs- und Auftragsstatus fr Track&Match;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Kutzner,D.,SNL IT P&P, Abt 1220;07.09.2022
In Produktion;DMPlanner;APP-5466;DM Planner;Web frontend DM Planner;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Kutzner,D.,SNL IT P&P, Abt 1220;17.08.2022
In Produktion;Einlieferungsdokumente erzeugen;ITR-4257;Einlieferungsdokumente erzeugen;Erzeugung einer Einleferungsliste und weiterer Dokumente;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;Einlieferungsliste;APP-5507;Einlieferungsliste;REST-Webservice zur Generierung von Einlieferungslisten;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Kutzner,D.,SNL IT P&P, Abt 1220;17.08.2022
In Produktion;Print Mailing API;ITR-4256;Print Mailing API;campaign management and creation of triggers for data driven print-mailings;Abt 19A5, Kundenintegrationsservices (00057793);Sander, B., SNL IT P&P, 1220;17.08.2022
In Produktion;SF/DM;APP-3370;Salesforce Marketing Cloud Connector fr DM-Suite;Verbindung von Marketing Cloud und DM-Suite;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Kutzner,D.,SNL IT P&P, Abt 1220;17.08.2022
In Produktion;T+M;APP-3332;Track & Match;Anzeige aktueller Zustellungsgrad einer Werbesendung per Web-Oberfl„che;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Kutzner,D.,SNL IT P&P, Abt 1220;17.08.2022
Geplant;VVOS;ITR-4191;Versandvorbereitung Online-Service;Versandvorbereitung Online-Service;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Igl, L., SNL IT P&P, 1220;17.08.2022
In Produktion;VuP;APP-3266;Versand- und Portooptimierung;Portooptimierung und Bereitstellung von Versandunterlagen;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Kutzner,D.,SNL IT P&P, Abt 1220;17.08.2022
In Produktion;Versandoptimierung;ITR-4267;Versandoptimierung;Versandoptimierung;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;Zielgruppen selektieren;ITR-4263;Zielgruppen selektieren (fr Postaktuell, Postwurfspezial, Dialogpost);Selektion von Haushalten in bestimmten Gebieten nach Kaufkraft, ...  (fr Postaktuell, Postwurfspezial, Dialogpost);Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;DPEL;ICTO-876;Deutsche Post Einlieferungslisten;Erstellung von Einlieferungslisten fr Kunden;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Igl, L., SNL IT P&P, 1220;18.08.2022
Ausser Produktion;DPEL;APP-4795;Deutsche Post Einlieferungslisten-1783;laut Datum noch aktiv;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Ausser Produktion;DPEL;APP-5522;Deutsche Post Einlieferungslisten-1784;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
In Produktion;Dialogpost Mgr;ICTO-130;Dialogpost Manager (fka Infopost Manager);Postalische Vorbereitung und Durchfhrung Dialogmarketing-Aktionen;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Igl, L., SNL IT P&P, 1220;18.08.2022
In Produktion;DPM;APP-5515;Dialogpost Manager;Client Dialogpost Manager;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Igl, L., SNL IT P&P, 1220;18.08.2022
In Produktion;MPD;ICTO-243;Manager Presse Distribution;Versandvorbereitung von Presseerzeugnissen;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Igl, L., SNL IT P&P, 1220;18.08.2022
Ausser Produktion;NEXELLENT;ICTO-1183;NEXELLENT;šbersetzung digitale Merkmale in Adressen bzw. Mikrozellen fr physische Mailings;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Igl, L., SNL IT P&P, 1220;17.08.2022
Ausser Produktion;Backend;APP-3492;Nexellent Backend;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Ausser Produktion;Hub;APP-3947;Nexellent  Hub;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Ausser Produktion;Kampagnenmgmt;APP-4906;Nexellent Kampagnenmanagement;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Ausser Produktion;Partnermatching;ITR-4258;Partnermatching;Matching MZ Cookie zu Partner Cookie;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Ausser Produktion;Tokenstore;APP-3491;Nexellent Tokenstore;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Ausser Produktion;User marking;ITR-4240;User marking;Receive address Receive Partner-Cookies;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
In Produktion;PAM;ICTO-253;Postaktuell Manager;Erstellung Versandunterlagen fr Postaktuell;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Kowatsch,J.,SNL IT P&P,Abt 1220,BN;17.08.2022
In Produktion;PAM API;ITR-4241;PAM API;Integration of POSTAKTUELL into other online portals;Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
In Produktion;PAM-Client;APP-851;Postaktuell Manager-1133;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
In Produktion;PAM-Web;APP-2719;Postaktuell Manager Web;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Ausser Produktion;TD;ICTO-1409;TRIGGERDIALOG;Entgegennahme und Vorverarbeitung von Aussteuerungsinformationen fr physische Werbemittelproduktion;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Schumacher, J., SNL IT P&P, Abt 1230, BN;17.08.2022
Ausser Produktion;TD Engine;APP-3779;TRIGGERDIALOG Engine;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);Schumacher, J., SNL IT P&P, Abt 1230, BN;17.08.2022
Ausser Produktion;TD Frontend;APP-3778;TRIGGERDIALOG Frontend;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Ausser Produktion;TD Prod DPDS;APP-4459;TRIGGERDIALOG Produktionsstufe DPDS;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Ausser Produktion;TD Prod EPS;APP-4278;TRIGGERDIALOG Produktionsstufe EPS;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Ausser Produktion;TD Rend;APP-3780;TRIGGERDIALOG Web-Editor und Rendering-Server;- zu erg„nzen -;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Ausser Produktion;Zielgruppenscout;ICTO-1002;Zielgruppenscout;Liefert Adressen potentieller Kunden;Abt 1220, ADM DM, Presse & Ident.-Mgmt. (00057833);;17.08.2022
Geplant;BZLM;ITR-3625;BZL Management;BZL Management - Management von Briefzusatzleistungen, d.h. Einschreiben, Postzustellungsauftrag, Wert, Nachnahme (Digitale Leistungserbringung);Abt 1120, ADM E-POST & Zusatzleitungen (00057830);Ziegenfu‹¨«,D.,SNL IT P&P,Abt 2410,BN;17.08.2022
In Produktion;E-POST Business Box;ICTO-3294;E-POST Business Box;E-POST Business Box zur GK-Anbindung fr digitalen Briefversand;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);Perera, N., SNL IT P&P, 1120, BN;13.09.2022
Ausser Produktion;E-POST DITA;ICTO-1592;E-POST DITA;E-POST DITA: Infocenter fr Online-Dokumentation und Hilfe zu E-POST Produkten;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);Haucke,R.,SNL IT P&P,Abt 1120,B;17.08.2022
Ausser Produktion;E-POST GK-Anb;ICTO-1308;E-POST Gesch„ftskundenanbindung;Anbindungsuntersttzung an E-POST-Dienste (z,B. E-POST-Brief-Erstellung und -Empfang, zentraler Druck (ber EPS Print), etc.);Abt 1120, ADM E-POST & Zusatzleitungen (00057830);Sparla,E.,SNL IT P&P,Abt 1120,BN;17.08.2022
In Produktion;Business Box DP AG;ITR-3836;Business Box DP AG;Clientsoftware;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);;17.08.2022
Ausser Produktion;Cloud Clients;APP-4395;E-POST Cloud Clients;- zu erg„nzen -;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);;17.08.2022
Ausser Produktion;DPAG-E-POST;APP-4745;E-POST GK-Anbindung fr DPAG;- zu erg„nzen -;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);;17.08.2022
Ausser Produktion;E-POST Gesch„ftskundenanbindung;APP-3531;E-POST Business Box (OBSOLET);- zu erg„nzen -;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);;17.08.2022
In Produktion;E-POST Kern;ICTO-1504;E-POST KERNSYSTEM;E-POST KERNSYSTEM mit Funktionen fr Sendungsavise Post, Digitale Kopie, eIDAS, etc.;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);Haucke,R.,SNL IT P&P,Abt 1120,B;17.08.2022
Ausser Produktion;Abrechnung;APP-4706;E-POST Kernsystem Abrechnung;- zu erg„nzen -;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);;17.08.2022
Ausser Produktion;Adressdienst;APP-4742;E-POST Kernsystem Adressdienst;- zu erg„nzen -;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);;17.08.2022
Ausser Produktion;Cloud;APP-4704;E-POST Kernsystem Cloud;- zu erg„nzen -;Abt 1120, ADM E-POST & Zusatzleitungen (00057830);;17.08.2022
In Produktion;Digitale Kopie;ITR-4318;Digitale Kopie;Digitale Kopie - DigiKo (File Transport);Abt 19A5, Kundenintegrationsservices (00057793);;17.08.2022
